,Player,Team,Years Remaining,Price,Position,,,,
,Patrick Mahomes II,Rothley Raptors,3,55,QB,,,,
,Alvin Kamara,Rothley Raptors,1,59,RB,,,,
,Joe Mixon,Rothley Raptors,1,45,RB,,,,
,Tyreek Hill,Rothley Raptors,2,60,WR,,,,
,DK Metcalf,Rothley Raptors,3,35,WR,,,,
,DeAndre Carter,Warrington Brewers,1,2,WR,,,,
,Diontae Johnson,Rothley Raptors,3,15,WR,,,,
,Pat Freiermuth,Rothley Raptors,2,6,TE,,,,
,James Conner,Rothley Raptors,1,28,RB,,,,
,Pittsburgh Steelers,Rothley Raptors,1,6,DST,,,,
,Ryan Succop,Rothley Raptors,1,3,K,,,,
,Baker Mayfield,Rothley Raptors,1,10,QB,,,,
,Russell Gage,Rothley Raptors,2,10,WR,,,,
,Brandon Aiyuk,Rothley Raptors,1,9,WR,,,,
,Jalen Reagor,Rothley Raptors,2,7,WR,,,,
,Tre'Quan Smith,Rothley Raptors,2,4,WR,,,,
,James Washington,Rothley Raptors,1,3,WR,,,,
,Gerald Everett,Rothley Raptors,1,14,TE,,,,
,Chris Boswell,Rothley Raptors,1,3,K,,,,
,Arizona Cardinals,Rothley Raptors,1,3,DST,,,,
,Justin Fields,Rothley Raptors,5,11,QB,,,,
,Mo Alie-Cox,Rothley Raptors,2,1,TE,,,,
,Skyy Moore,Rothley Raptors,3,11,WR,,,,
,Calvin Austin III,Rothley Raptors,3,1,WR,,,,
,Kelvin Harris,Rothley Raptors,3,1,RB,,,,
,Jelani Woods,Rothley Raptors,3,1,TE,,,,
,Khalil Herbert,Rothley Raptors,5,1,RB,,,,
,Mitch Trubisky,Rothley Raptors,1,3,QB,,,,
,Hayden Hurst,Rothley Raptors,2,18,TE,,,,
,Raheem Mostert,Rothley Raptors,1,14,RB,,,,
,Russell Wilson,Blighty Bulldogs,1,52,QB,,,,
,Elijah Mitchell,Blighty Bulldogs,2,7,RB,,,,
,Rashaad Penny,Blighty Bulldogs,2,4,RB,,,,
,A.J. Brown,Warrington Brewers,3,41,WR,,,,
,JuJu Smith-Schuster,Blighty Bulldogs,3,41,WR,,,,
,Treylon Burks,Blighty Bulldogs,3,18,WR,,,,
,Daniel Bellinger,Blighty Bulldogs,3,4,TE,,,,
,Clyde Edwards-Helaire,Blighty Bulldogs,3,45,RB,,,,
,Baltimore Ravens,Blighty Bulldogs,2,8,DST,,,,
