Name,mean,std
A.J. Brown,16.8625,12.115508066700537
A.J. Green,2.2,2.619160170741759
AJ Dillon,8.05,5.588508617818226
Aaron Jones,16.0625,9.826194947326107
Aaron Rodgers,14.5,4.322697570466189
Adam Prentice,0.15,0.42426406871192857
Adam Thielen,10.5125,6.0034365158632275
Adam Trautman,2.7,4.120679555607303
Albert Okwuegbunam,1.5,2.87799533405757
Alec Ingold,2.05,2.708188640823551
Alec Pierce,8.4125,5.9546950263756475
Alexander Mattison,5.6875,4.309934537123008
Allen Lazard,10.5,7.058530806255445
Allen Robinson II,7.05,6.460650122085239
Alvin Kamara,14.625,14.26351489440303
Amari Cooper,15.4125,8.963806190930915
Amari Rodgers,0.875,1.3002746962524057
Ameer Abdullah,1.6,2.5054226903145222
Amon-Ra St. Brown,11.775,13.443081066906817
Andre Baccellia,0.8125,1.5046950331735474
Andre Roberts,0.0,0.0
Andrew Beck,1.1,2.5371525096341485
Andy Dalton,10.225,10.326353249263333
Andy Isabella,0.5125,0.9493418773023763
Anthony Firkser,0.8625,1.2682242929162244
Anthony Schwartz,0.6125,1.7324116139070416
Antonio Gibson,13.125,5.340612591935767
Arizona Cardinals,7.875,6.311836952447814
Armani Rogers,1.425,2.190075015023132
Ashton Dulin,3.6375,4.649404723802208
Atlanta Falcons,6.5,5.855400437691199
Austin Allen,0.0,0.0
Austin Ekeler,21.8375,13.469959963881532
Austin Hooper,2.7,2.6435906318058082
Austin Seibert,2.875,4.2907708265199025
Avery Williams,2.45,3.2173636057226376
Bailey Zappe,5.3375,6.771144132060908
Baker Mayfield,7.3125,7.018025261526819
Baltimore Ravens,7.875,2.9489707647632883
Ben Ellefson,0.7,1.5528775133372787
Ben Skowronek,6.85,5.414003008073468
Benny Snell Jr.,0.0,0.0
Boston Scott,1.725,2.4429197986952293
Brandin Bryant,0.0,0.0
Brandin Cooks,9.175,5.987308004675986
Brandon Aiyuk,13.875,7.285357134103213
